SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
Al Medrano;15-May;1961;Ldec;10;Harry Campbell;23;Y;campbell;San Francisco;California;USA;Light;"Ironwood (Michigan) Daily Globe, May 17, 1961; New York Times, May 17, 1961; (Oklahoma City) Oklahoman, May 17, 1961; Dallas Morning News, May 18, 1961; Milwaukee (Wisconsin) Sentinel, May 20, 1961; Ron Miller, ""Half a century of bad news still hasn't stopped the habit,"" July 26, 2002, http://www.thecolumnists.com/miller/miller177.html. Campbell was knocked down twice in the tenth round, but was saved by the bell. Immediately following the fight, Campbell, a former member of the US Olympic team, collapsed in his corner. He was carried to the hospital, where brain surgery was done. The following day, he died in hospital. Cause of death was subdural hematoma. Despite the two knockdowns, Medrano said he never hit Campbell very hard, and the second knockdown was said to be due to a fall rather than blows. At the inquest, it was suggested that the injury that led to Campbell's death may have occurred during training, but the coroner ruled otherwise. Death was formally attributed to a blow or blows that ruptured a vessel in the brain."; ;Pro;Brain injury;Soon after;Blows: Misadventure; ;
Anselmo Castillo;29-May;1961;KO;6;Jose Rigores;25;Y;rigores;New York;New York;USA;Bantam;"New York Times, May 31, 1961; New York Times, June 4, 1961; Great Bend (Kansas) Daily Tribune, June 4, 1961. Rigores collapsed in the dressing room and died five days later in hospital. Cause of death was intercranial hemorrhage."; ;Pro;Brain injury;Soon after;; ;
Antonio Aguilar;9-Sep;1961;KO;7;"Luis ""Pajarito"" Mata"; ;Y;mata;Fresnillo;;Mexico;Fly;"Ring Magazine;  Danville (Virginia) Regiser, December 28, 1961; http://www.boxrec.com. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;;;
Emiliano Gomez;16-Oct;1961;TKO;6;Miguel Angel Fernandez;;Y;fernandez;Caracas;;Venezuela;Feather;"Charleston (West Virginia) Daily Mail, October 19, 1961; Troy (New York) Record, October 19, 1961; Washington Post, October 21, 1961. Fernandez was a former amateur champion. This was his second professional fight. He died in hospital two days later. Death was attributed to cardiac failure. "; ;Pro;Cardiac;Ring;; ;
Keith Lewis;3-Nov;1961;TKO;10;George Kerekes (George Kraal);22;Y;kerekes;Melbourne;Victoria;Australia;Welter;"Troy (New York) Times Record, November 4, 1961; ?Kraal's tragic end,? Australian Ring, December 1961, 19. Kerekes was leading on points going into the ninth round, but was not in the best condition, and was visibly tiring after the sixth round. He was knocked down in the tenth. He got up, and took an 8-count.  He was hit more, and the referee stopped the fight. Kerekes walked to his corner, and collapsed. He died in hospital. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;; ;
Ben Hurst;16-Nov;1961;KO;;Cookie Ronan;19;Y;ronan;New York;New York;USA;Bantam;New York Times, April 3, 1962. After winning four earlier bouts in this tournament, Ronan was knocked down in the semi-finals. He remained unconscious until his death three days later. Cause of death was listed as subdural hematoma.;Golden Gloves;Amateur;Brain injury;Ring;; ;
Mariano Arido (Kid Mar);22-Nov;1961;KO;5;Virgilio Ybanez (Vic Herero);;Y;ybanez;Tanjay;;Philippines;ND;"Manuel Velazquez collection; http://www.boxrec.com"; ;Pro;;Ring;; ;
ND;16-Dec;1961;TKO;8;Elino Esguerra;18;Y;esguerra;Manila;;Philippines;Bantam;"Oakland Tribune, January 5, 1962; Austin (Minnesota) Daily Herald, January 6, 1962; Charleston (West Virginia) Daily Mail, January 6, 1962.  After the fight was stopped, Esguerra went to his corner, where he collapsed. He died in hospital three weeks later. Death was attributed to brain injury."; ;Pro;Brain injury;Soon after;; ;
Albert Sewell;31-Dec;1961;KO;10;Jai-Koo Song;23;Y;song;Seoul;;South Korea;Feather;"Dallas Morning News, January 4, 1962; Syracuse (New York) Post-Standard,  January 4, 1962. The contest pitted a US Army middleweight boxer against the Korean featherweight champion, and was an exhibition for charity. Song died the next day. Cause of death was brain injury."; ;Pro;Brain injury;Ring;; ;
Tan Hwa Soei;ND;1961;KO; ;Sarono;;;sarono;Surabaya;;Indonesia;ND;Tinju Online Indonesia, http://www.tinju.4t.com/tewas.html ; ;Pro;;Ring;; ;
"Alfie Charles ""Easy Boy"" Fraser";ND;1961;KO;1;Kid St. Rose;;;st. rose;ND;;Martinique;Middle;"""Did you know that?"" St. Lucia Mirror, January 30, 2004, http://www.stluciamirroronline.com/2004/jan30/sports9.htm. Cause of death was brain injury."; ;Pro;Brain injury;Ring;; ;
ND;20-Feb;1962;Sparring;;David Ross Buzzell;22;Y;buzzell;Arlington;Texas;USA;Welter;"Dallas Morning News, February 24, 1962; Stroudsburg (Pennsyvlania) Daily Record, February 27, 1962. Although a former amateur champion, Buzzell had not boxed for several years. He decided to resume training. He was knocked down during a sparring match. He died three days later, without regaining consciousness. Cause of death was brain hemorrhage."; ;Pro;Brain injury;Ring;; ;
Emile Griffith;24-Mar;1962;KO;12;"Benny ""Kid"" Paret";25;Y;paret;New York;New York;USA;Welter;"Winnipeg (Manitoba) Free Press, March 27, 1962; Gary Smith, ""The shadow boxer,"" Sports Illustrated, April 18, 2005, http://sportsillustrated.cnn.com/2005/magazine/04/12/griffith0418/; Friedrich Unterharnscheidt, ""About boxing: Review of historical and medical aspects,"" Texas Reports on Biology and Medicine, 28:4 (Winter 1979); ""Griffith kills Paret in the ring,"" SportsJones.com, http://www.sportsjones.com/sj/397.shtml. This was the first known death of a reigning world champion (Paret) in the ring. Midway through the twelfth round, Griffith hit a flatfooted Paret eighteen times in just six seconds. Paret unsurprisingly slumped unconscious over the ropes, and he died in hospital ten days later. Cause of death was brain injury. The fight was a championship bout broadcast live over national television, so the images of the death were rerun frequently on news shows. In literature, the death resulted in a famous English-language essay, namely Norman Cousins, ""Who killed Benny Paret?"" Saturday Review, 45:14 (May 5, 1962), 14, in which Cousins argued that the bloodlust of the audience was primarily responsible for boxers' deaths. In Spanish, the death also inspired Nicomedes Santa Cruz's equally sardonic ""Muerte en el ring"" (April 12, 1962), in which the poet said, ""Here the only ones who never lose are our managers and the promoter."" Subsequent court cases included Alfaro v. Joint Legislative Com. on Prof. Boxing, 36 Misc. 2d 1018, 234 N.Y.S. 2d 164, in which Paret's former manager, Manuel Alfaro, unsuccessfully tried to quash a subpoena issued by a state legislative inquiry into the ""possibility that many boxers, managers and promoters might be under control of racketeers.""";World;Pro;Brain injury;Ring;Blows: Misadventure; ;
ND;26-Mar;1962;Sparring; ;Lion King;;Y;lion king;Frankfurt;;Germany;Middle;"Manuel Velazquez collection; http://www.boxrec.com; Milwaukee (Wisconsin) Sentinel, March 31, 1962.  King was battered severely during a match in February 1962. He collapsed in the gym on March 26, 1962. He was taken to the hospital, where he died three days later. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;; ;
ND;29-Apr;1962;Sparring;;Douglas Klosterhuber;22;Y;klosterhuber;Green Bay ;Wisconsin;USA;Light Heavy;"Stevens Point (Wisconsin) Daily Journal, April 30, 1962; Appleton (Wisconsin) Post-Crescent, April 30, 1962. Klosterhuber was participating in supervised boxing at the Wisconsin State Reformatory, which had organized formal boxing tournaments. Headgear and 16-ounce gloves were worn. After sparring, Klosterhuber said he did not feel well, so he was sent to the infirmary. He was dead within half an hour. Cause of death was brain hemorrhage, perhaps associated with congenital aneurysm. This was the second boxing fatality at the Wisconsin State Reformatory  (Golubiff being the first), and it led to Wisconsin prison officials discontinuing boxing tournaments."; ;Amateur;Brain injury;Soon after;Aneurysm; ;
Nikola Kankaras;12-Jun;1962;KO;;Elija Plackic;26;Y;plackic;Novi Sad;;Yugoslavia (Serbia);ND;Oakland Tribune, June 21, 1962. Cause of death was brain injury.; ;Amateur;Brain injury;Ring;Blows: Misadventure; ;
Jerry Aquino;16-Jun;1962;Ldec;6;Sammy Romero; ;;romero;San Miguel;;Philippines;Fly;Syracuse (New York) Post-Standard, July 19, 1962. Cause of death was head injuries.; ;Pro;Brain injury;Ring;; ;
Wolfgang Giessman;22-Jul;1962;KO;;Emil Braun;18;Y;braun;Allendorf;;Germany;Middle;"New York Times, July 23, 1962; Chicago Daily Tribune, July 23, 1962; Coshocton (Ohio) Tribune, July 23, 1962. Braun died the day after the bout; it was his 19th birthday. Cause of death was listed as brain concussion. During this same tournament, a welterweight boxer named Friedrich Neutzel was hospitalized for concussion."; ;Amateur;Brain injury;Ring;; ;
Rodrigo Contreras;26-Jul;1962;KO;4;Sonny Nunez;19;;nunez;Phoenix;Arizona;USA;Feather;"Coshocton (Ohio) Tribune, July 26, 1962; Brainerd (Minnesota) Daily Dispatch, July 26, 1962. Both boxers had experience as amateurs, but this was the first pro fight for either of them. Nunez had suffered a neck injury in training but apparently didn't tell anyone. He was knocked down in the final round of a scheduled four-round fight. He was counted out. He stood up, told his seconds that he was disappointed by the knockout, and then collapsed. He died a few hours later, in surgery. Cause of death was brain damage."; ;Pro;Brain injury;Soon after;Prior injury; ;
John Riggins;21-Sep;1962;KO;6;"Alejandro ""Alex"" Lavorante";25;Y;lavorante;Los Angeles ;California;USA;Heavy;"(Oklahoma City) Oklahoman, September 23, 1962; New York Times, September 27, 1962; (Oklahoma City) Oklahoman, January 4, 1963; New York Times, April 2, 1964; Friedrich Unterharnscheidt, Boxing: Medical Aspects (London: Academic Press, 2003), 574. Lavorante's two fights preceding this bout had been losses to Archie Moore (KO-10 on March 30, 1962) and Cassius Clay (KO-5 on July 20, 1962). During this fight, Lavorante was ahead on points, but was also visibly tiring. Riggins hit him hard just before the end of the fifth round, and knocked him down about two minutes into the sixth round. The referee stopped the fight. Lavorante went to his corner and sat down. Then he fell off the stool, legs quivering. He was carried from the ring on a stretcher. Following two separate brain surgeries in Los Angeles, the still-comatose Lavorante was flown back to Argentina, where he died on April 1, 1964. "; ;Pro;Brain injury;Ring;; ;
Francisco Bolivar;29-Sep;1962;KO;10;Virgilio Acosta;21;Y;acosta;Caracas;;Venezuela;Welter;"New York Times, October 6, 1962; Kansas City (Missouri) Times, October 6, 1962; Kingston (Jamaica) Gleaner, October 6, 1962. Cause of death was listed as skull fracture."; ;Pro;Skull fracture;Ring;; ;
Linton John;30-Sep;1962;Wdec;6;Henry Alvin Brown;27;;brown;Georgetown;;British Guiana (Guyana);Welter;Appleton (Wisconsin) Post-Crescent, October 2, 1962. This was Brown's first pro fight. He was leading going into the final round. He was knocked down as the final round ended, but was saved by the bell. He was carried from the ring, and he died about 10 minutes later. Cause of death was concussion of the brain.; ;Pro;Brain injury;Ring;; ;
ND;5-Nov;1962;TKO;;Alexander Lesniak;18;Y;lesniak;Warsaw;;Poland;Welter;Chicago Daily Tribune, November 7, 1962. Lesniak walked out of the ring. He collapsed in the dressing room. He died six hours later. Cause of death was brain injury.; ;Amateur;Brain injury;Soon after;; ;
Rocky De La Rosa;24-Nov;1962;Draw;10;Rod Ladeca;19;Y;ladeca;Cagayan de Oro;;Philippines;ND;Oakland Tribune, November 26, 1962. Ladeca died the day after this bout. Cause of death was cerebral hemorrhage.; ;Pro;Brain injury;Ring;; ;
Gil Flores;24-Nov;1962;KO;;"David ""Baby"" Valle";18;Y;valle;Angeles;;Philippines;Feather;Oakland Tribune, November 26, 1962. Valle died nine hours after the bout ended. Cause of death was cerebral hemorrhage.; ;Pro;Brain injury;Ring;; ;
ND;26-Dec;1962;ND;;Delson Marin; ;Y;marin;ND;;Chile;ND;Manuel Velazquez collection; ;Amateur;;Ring;; ;
Dean Clark;24-Jan;1963;KO;1;"Emedino ""Nino"" Nunez";26;Y;nunez;Odessa;Ohio;USA;ND;Kingston (Jamaica) Gleaner, February 7, 1964. Nunez was hit hard in the face as he broke from a clinch, and he dropped to the floor. He stopped breathing three times during the 20-mile trip to the hospital, and he remained unconscious until his death on September 19, 1965. Cause of death was brain hemorrhage.; ;Amateur;Brain injury;Ring;; ;
Tim Fish;6-Feb;1963;Sparring;;Omar Olive;18;Y;olive;Toledo;Ohio;USA;ND;"New York Times, April 8, 1963; Appleton (Wisconsin) Post-Crescent, February 8, 1963. Cause of death was brain injury. He was practicing for the Golden Gloves."; ;Amateur;Brain injury;Ring;; ;
"Ultiminio ""Sugar"" Ramos";21-Mar;1963;KO;10;Davey Moore;29;Y;moore;Los Angeles ;California;USA;Feather;"Cyril B. Courville, ""The mechanism of boxing fatalities,"" Bulletin of the Los Angeles Neurological Society, 2:29 (June 1964), 59-69; David Jablonsky, ""Remembering Davey Moore,"" Springfield News-Sun, February 23, 2003, http://www.springfieldnewssun.com/sports/newsfd/auto/feed/sports/2003/02/23/1046062483.16698.0036.4180.html. Moore was the 1952 Olympics champion and current world champion, but he had starved himself to make weight. About 45 minutes after the end of the fight, he lapsed into unconsciousness, and he died three days later. Cause of death was attributed to his head striking the ring ropes as he fell. The fight had been televised, and the death quickly became a political football and a media circus. For instance, Bob Dylan's song ""Who Killed Davey Moore?"" premiered on April 12, 1963; lyrics appear at http://www.bobdylan.com/songs/daveymoore.html. Consequently, within a week of this death, the New York State Athletic Commission prohibited 6-ounce gloves and instituted a 3-knockdown rule. See New York Times, April 3, 1963, 54. California also introduced similar legislation. See Winnipeg (Manitoba) Free Press, March 26, 1963.";World;Pro;Brain injury;Soon after;Fall, weight; ;
ND;2-Apr;1963;WTKO;;Enzio Barelli;18;Y;barelli;Ayr;Queensland;Australia;ND;"Sydney (Australia) Morning Herald, April 7, 1963; (Dublin) Irish Times, April 6, 1963; New York Times, April 8, 1963. The referee stopped the bout because Barelli was overpowering his opponent. After the fight, Barelli complained of headaches and began vomiting. He was unconscious by the time he got to the hospital. Surgery was done, but he died the next day. Cause of death was listed as cerebral hemorrhage."; ;Amateur;Brain injury;Soon after;; ;
Cliff Hanson;6-Apr;1963;TKO;2;Norman Smith;26;Y;smith;Gympie;Queensland;Australia;Fly (7st 8-1/2lb);"Sydney (Australia) Morning Herald, April 7, 1963; New York Times, April 8, 1963; Syracuse (New York) Post-Standard, April 8, 1963; Ray Mitchell, ?Four ways to make boxing safer,? Australian Ring, April-May 1963, pp. 4-5, 22; see also ?Away from the big cities,? Australian Ring, April-May 1963, 21. . The bout was part of the first professional boxing promotion in Gympie in 25 years. Smith, who was Aboriginal, had been knocked out in another professional boxing match just eight days earlier. He also had a history of heart problems. However, the promoter needed a subsitute, so out Smith went, to fight a man who outweighed him by about a dozen pounds.He was knocked down in the second round, and died in hospital about an hour later."; ;Pro;Brain injury;Ring; ; ;
Earl Johnson;6-Apr;1963;TKO;2;Francisco Velasquez;20;Y;velasquez;Carbondale;Pennsylvania;USA;Middle;"(Dublin) Irish Times, April 8, 1963; New York Times, April 7, 1963; New York Times, April 8, 1963; Friedrich Unterharnscheidt, Boxing: Medical Aspects (London: Academic Press, 2003), 557. Ten-ounce gloves were being worn, and Velasquez was the only boxer in the tournament who was wearing headgear. The bout was staged as a charity event for the Kiwanis Club. Velasquez was knocked down, and his head hit the ring floor. He died fifteen minutes later. Cause of death was listed as ""massive intra-cranial hemorrhage."""; ;Amateur;Brain injury;Ring;Fall; ;
Salustiano Suarez;19-Apr;1963;KO; ;Domingo Castro;22;Y;castro;San Luis;;Argentina;Feather;Journal de GenŠve, April 30, 1963. The bout was reportedly a mismatch. In any event, Castro was knocked out, and did not recover. Despite surgery to remove blood clots from his brain, Castro died five days after the bout.;Provincial ;Pro;Brain injury;Ring;Mismatch; ;
Johnny Lozaga;12-May;1963;KO;8;"Sabino ""Rocky"" Mangubat";22;Y;mangubat;Manila;;Philippines;Bantam;"New York Times, May 15, 1963; Pacific Stars and Stripes, May 17, 1963. Mangubat died three days after the bout. Cause of death was listed as brain injuries."; ;Pro;Brain injury;Ring;; ;
Antun Novakovic;16-Jun;1963;KO;1;Josip Madjar;23;Y;madjar;Slavonski Brod;;Yugoslavia (Croatia);Welter;Kansas City (Missouri) Star, June 17, 1963. Madjar was knocked down by a blow to the solar plexus, and he died in hospital without regaining consciousness. Cause of death was attributed to brain injuries. ; ;Amateur;Brain injury;Ring;; ;
Norberto Aguirre;21-Jul;1963;KO;;Renato Aguila; ;Y;aguila ;Tierra del Fuego;;Argentina;ND;"Manuel Velazquez collection; http://www.boxrec.com"; ;Pro;;Ring;; ;
ND;6-Oct;1963;KO;;Ganija Munadzerija;25;Y;munadzrija;Sarajevo;;Yugoslavia (Bosnia);Fly;"New York Times, October 7, 1963; Kingston (Jamaica) Gleaner, October 7, 1963. The boxer died about half an hour after the fight."; ;Amateur;;Ring;; ;
ND;11-Oct;1963;Sparring;;Carroll J. Belt;23;Y;belt;Camp Sukiran;Okinawa;USA;Welter (Lt Welter);"Pacific Stars and Stripes, October 13, 1963; Pacific Stars and Stripes, October 18, 1963; Frederick (Maryland) Post, October 18, 1963; Washington Post, October 18, 1963.  In early October 1963, Bill Champion and Emanuel Rivera organized a 19-member Marine Corps boxing team at Camp Sukiran, Okinawa. The idea was to start holding weekly contests with the Army. ""Many of our fighters are fairly short on experience,"" Champion was quoted in Pacific Stars and Stripes as saying. ""But where they lack experience they conceal it with willingness and guts."" On October 11, 1963, Corporal Belt was knocked unconscious, and soon after, he died in hospital. Cause of death was subdural hematoma."; ;Amateur;Brain injury;Ring;; ;
Wayne Bethea;14-Oct;1963;KO;9;"Ernie ""Rainbow"" Knox";26;Y;knox;Baltimore;Maryland;USA;Heavy;"Frederick (Maryland) Post, January 8, 1964; Unterharnscheidt, 574; http://www.macklewis.com/mack_lewis_story.htm; Thomas Scharf, Baltimore's Boxing Legacy, 1893-2003 (Charleston, South Carolina: Arcadia Publishing), 108; Alan Goldstein, ""The Ring Master,""  Pressbox, 1:25, October 12, 2006, http://www.pressboxonline.com/story.cfm?id=921. Knox was knocked out and remained unconscious until his death 30 hours later. Cause of death was a blood clot in the brain. Scandal followed this death. Although Knox officially weighed 178 at the pre-fight exam, at the autopsy,  his actual weight was found to be 152. Meanwhile, Bethea weighed 205. In addition, he  had been hospitalized following auto accidents in 1961 and 1963. However, he was on unemployment at the time, which suggests that he needed the $243 purse. Knox was managed by Mack Lewis. Another of Lewis's boxers, John Hurtt, was fighting on the same card as Knox. At the time of this fight, Hurtt had two detached retinas, and he later went blind on the left side."; ;Pro;Brain injury;Ring;Prior injury; ;
Adan Mesa;22-Nov;1963;KO; ;Roberto Hernandez;19;Y;hernandez;Montevideo;;Uruguay;ND;Manuel Velazqeuz collection. Hernandez had won three bouts earlier in the tournament, but he was knocked out in the finals. He underwent brain surgery and died the next day.; ;Amateur;Brain injury;Ring;; ;
Louis Pulliam;18-Jan;1964;KO;3;Forrest Wright;17;Y;wright;Flint;Michigan;USA;Light (133 lb.);"(Pasco, Washington) Tri-City Herald, January 20, 1964; New York Times, January 21, 1964; Pittsburgh (Pennsylvania) Press, January 21, 1964. Wright was carried unconscious from the ring and died in hospital 61 hours later. Cause of death was massive brain hemorrhage."; ;Amateur;Brain injury;Ring;; ;
Victor Arguellas;19-Jan;1964;KO;3;Jose Godoy Lopez; ;Y;godoy;Oruro;;Bolivia;Fly;"Holland (Michigan) Evening Sentinel, January 21, 1964; Bettman/Corbis Archive, image 42-15854751, http://pro.corbis.com/search/searchFrame.aspx. Cause of death given as pneumonia while unconscious."; ;Amateur;Pneumonia;Ring;; ;
Martin Hermida;25-Apr;1964;WTKO;4;Kolawole (Kofi) Mustapha;21;;mustapha ;Barcelona;;Spain;Bantam;(Dublin) Irish Times, June 19, 1964. Mustapha was a bantamweight, while Hermida was a flyweight. Hermida's record going into this fight was 3-5-0, and it ended exactly as the promoters expected, with Hermida's knockout. Nonetheless, in the middle of June 1964, Mustapha suddenly collapsed while walking, and he died of complications on June 18, 1964..; ;Pro;;Later;; ;
Marika Naivalu;6-May;1964;Sparring;;Anare Baisagale;24;Y;baisagale;Suva;Fiji;Australia;Heavy;"Kingston (Jamaica) Gleaner, May 7, 1964; Fresno (California) Bee Republican, May 7, 1964. The two boxers were cousins. Baisagale was knocked down by a right to the head. The death is attributed to Australia because Fiji did not become independent until 1970."; ;Amateur;;Ring;; ;
ND;11-Jun;1964;TKO;2;Henry Stephens;18;Y;stephens;Parramatta;New South Wales;Australia;ND;"Modesto (California) Bee and News Herald, June 17, 1964; (Dublin) Irish Times, June 18, 1964; Pacific Stars and Stripes, June 19, 1964; ?Death of amateur,? Australian Ring, May-June 1964, 25. Stephens, whose family had recently moved to Australia from Fiji, was participating in his second amateur boxing tournament. He entered because his younger brother Fred was four pounds too light to participate. During the second round, Stephens was hit twice in the head. He fell down, and did not get up. He was taken to the hospital, where brain surgery was done. He died three days later. Cause of death was a blood clot on the brain."; ;Amateur;Brain injury;Ring;; ;
Roger Aganan;13-Jun;1964;KO;4;Rey Romero;21;Y;romero;Quezon City;;Philippines;Welter;"(Reno) Nevada State Journal, June 17, 1964; Dallas Morning News, June 17, 1964; Pacific Stars and Stripes, June 19, 1964; Yuma (Arizona) Daily Sun, June 21, 1964. It was Aganan's second pro fight and Romero's third. There was only the one knockdown in the fight. Cause of death was cerebral hemorrhage. The Games and Amusement Board in Manila subsequently revoked the license of referee Sandalio Del Corro, apparently because he had ignored the advice of the ringside physician to stop the fight."; ;Pro;Brain injury;Soon after;; ;
Colin Lake;16-Jun;1964;KO;6;Lyndon Rees James;21;Y;james;Shoreditch;London;England;Feather;"New York Times, June 17, 1964; Modesto (California) Bee and News-Herald, June 17, 1964; (Dublin) Irish Times, January 14, 1965; Manchester (England) Guardian, January 14, 1965; Mike Lewis, ""Ernie Fossey, the man who made boxing ring,"" The Guardian, October 1, 2003, http://sport.guardian.co.uk/boxing/theobserver/story/0,10541,1053202,00.html. Before the fight, a doctor had noted low blood pressure and abnormal pupil dilation. James did not mention this diagnosis to anyone involved with the fight. During the fight, he was knocked down just before the final bell, but got up before fight ended. After the fight ended, he collapsed, and was transported to the hospital. There, he lost consciousness, and he died six hours later. He reportedly had not recovered from injuries received in an auto accident shortly before the bout. Cause of death was intercerebral hemorrhage, and attributed either to James striking his head against a rope or being post-concussional from some previous injury. There had been several other boxing deaths during the past few days, and this led to renewed calls for the abolition of boxing in the United Kingdom."; ;Pro;Brain injury;Soon after;Fall; ;
War Tagalogin;16-Jul;1964;KO;;Sammy Parker;18;Y;parker;Ozamiz City;;Philippines;ND;Burlington (North Carolina) Daily Times-News, July 18, 1964. Oakland Tribune, July 18, 1964. Parker was knocked down twice during the bout. Cause of death was brain injury. This was reportedly the sixth Philippines fatality in past three years.; ;Pro;Brain injury;Ring;; ;
Shigeru Suzuki;16-Aug;1964;Ldec;6;Minoru Hasegawa;22;Y;hasegawa;Tokyo;;Japan;Feather;"Los Angeles Times, August 20, 1964; New York Times, August 21, 1964; Japan Times, August 21, 1964, 7; Japan Times, August 22, 1964. It was Hasegawa's fourth pro fight, and he was hit hard throughout the fight. He collapsed shortly after the bell ending the fight. He died in hospital 82 hours later. Cause of death was cerebral hemorrhage; the clot was said to be the size of a baby's fist."; ;Pro;Brain injury;Soon after;; ;
Kwanchai Kityountra;18-Aug;1964;Ldec;6;Kamolsing Singchaophya; ;Y;singchaophya;Nakorn Sawan;;Thailand;ND;"New York Times, August 21, 1964, 22; (Pasco, Washington) Tri-City Herald, August 20, 1964.  After the fight, Singchaophya reported feeling sleepy. He was sent home. He died within 24 hours. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Soon after;; ;
Paul Jacobs;12-Sep;1964;TKO;3;Nicky Erasmus;22;Y;erasmus;Germiston;;South Africa;Bantam;"El Paso (Texas) Herald-Post, September 18, 1964; (Madison) Wisconsin State Journal, September 19, 1964; Peter Bernard Harris, Interest Groups in South African Politics (Salisbury: University College of Rhodesia, 1968), 85. Erasmus collapsed at the end of the second round. He got up, walked to the corner, hung on to the ropes, and collapsed. He died in hospital five days later.";Transvaal;Amateur;;Ring;; ;
Enrique Jana;24-Sep;1964;TKO;9;Adrian Servin;29;Y;servin;Buenos Aires;;Argentina;Light (Super Feather);"Manchester (England) Guardian, September 29, 1964; Zanesville (Ohio) Times Recorder, September 29, 1964. This was a televised match. Servin collapsed in his corner at the start of the 10th round. He was taken to the hospital, where surgery was done. He remained in a coma until his death six days later. Cause of death was cerebral hemorrhage. Servin had not won a fight since 1960. On the other hand, Jana had lost two fights in his career. "; ;Pro;Brain injury;Ring;Mismatch; ;
ND;28-Sep;1964;KO;2;Antonio Pepe;19;Y;Pepe;Naples; ;Italy;Welter;Zanesville (Ohio) Times Recorder, September 29, 1964. Pepe was hospitalized for ten days after this match, and about four months later, he died of complications related to the injury.; ;Amateur;Brain injury;Ring;;;
Fix Njelamenda;25-Oct;1964;KO;4;Boniface Mau Mau ;;Y;mau mau;Kitwe;;Zambia;Feather;Oshkosh (Wisconsin) Daily Northwestern, October 27, 1964. Mau Mau was knocked down and did not get up. Cause of death was brain injury.; ;Pro;Brain injury;Ring;; ;
ND;ND;1964;ND;;Leopoldo Guajardo;;Y;guajardo;ND;;Chile;ND;Manuel Velazquez collection; ;Amateur;;Ring;; ;
ND;10-Jan;1965;KO;;Said Brahimi;18;Y;brahimi;Algiers;;Algeria;Light;"New York Times, January 13, 1965; Pacific Stars and Stripes, January 15, 1965; Kingston (Jamaica) Gleaner, January 17, 1965. Brahmini was knocked out and died two days later. Cause of death was brain injury."; ;Amateur;Brain injury;Ring;; ;
Harvey Christian;14-Jan;1965;TKO;2;Jerry Como Jr.;17;Y;como;Youngstown;Ohio;USA;Light;"New York Times, January 15, 1965; Syracuse (New York) Post-Standard, January 15, 1965; Appleton (Wisconsin) Post Crescent, January 15, 1965. While crouching, Como was hit by a left to the side and he went down. He did not get up. The crowd booed. Como died two days later, without regaining consciousness. Death was attributed to a pre-existing but previously undiagnosed heart condition."; ;Amateur;Cardiac;Ring;Misadventure; ;
Leotis Martin;10-May;1965;KO;9;"Lucien ""Sonny"" Banks";24;Y;banks;Philadelphia;Pennsylvania;USA;Heavy;"Philadelphia Inquirer, May 11, 1965, 1; Philadelphia Inquirer, May 14, 1965, 36. Struck with a right fist to the left temple, Banks toppled over but was not counted out because there was just one second left in the round. He remained partially conscious for about fifteen minutes, then lapsed into a coma. He died three days later in hospital. Cause of death was listed as subdural hematoma. Banks had been knocked out only once before, on July 21, 1964. The attending doctor, Robert Andre, said he did not know what caused the death, only that it was not Martin's punch that did it."; ;Pro;Brain injury;Ring;Misadventure; ;
ND;8-Jun;1965;KO; ;Harold Kenneth Stevens Jr.;22; ;stevens ;Da Nang;Vietnam;USA;ND;"Board of Veterans' Appeals, Citation Nr: 0312002 Decision Date: 06/09/03 Archive Date: 06/16/03, Docket No. 96-28 407, http://www.va.gov/vetapp03/Files/0312002.txt; National Archives and Records Administration, The Coffelt Database, December 2005 Update in the Series: Records with Unit Information on Military Personnel Who Died During the Vietnam War, created ca. 1983 - 12/18/2005, documenting the period 6/8/1956 - 10/10/2003. - Collection COFF.  Stevens was a Marine lance corporal assigned to A Company, 3rd Engineer Battalion, 3rd Marine Division, at Da Nang. According to Veterans Administration records, he died during a service-related boxing match. To wit: ""It has been confirmed that Harold K. Stevens was in Vietnam during the specified time period and that he died due to injuries sustained during a boxing match. However, the record contains no verification that the veteran caused the injuries and contains no investigative reports."" Cause of death was listed as accidental homicide."; ;Amateur; ;Ring;Accidental homicide;;
ND;9-Aug;1965;KO;4;Jairo de Jesus Gutierrez;19;Y;de jesus;Medellin;;Colombia;ND;"Syracuse (New York) Herald Journal, August 12, 1965; Pacific Stars and Stripes, August 15, 1965. Gutierrez was knocked down. He stood up, and congratulated his opponent. He walked unassisted from the ring, but collapsed in the dressing room. He died three days later."; ;Amateur;;Soon after;; ;
ND;14-Aug;1965;KO;;Arturo Avila;18;Y;avila;Puerto Montt;;Chile;ND;(Sydney, Australia) The Age, August 18, 1965. Following the fight, Avila complained of severe headaches. He was hospitalized, and he died two days later.; ;Amateur;Brain injury;Soon after;; ;
